
  Composition: O16Ti8 (24 atoms)
  Initial cell: a=6.9213  b=6.9213  c=6.9213
  Volume: 331.56 A^3
  Optimizer: LBFGS  fmax=0.1  max_steps=300

   Step      Energy(eV)   Fmax(eV/A)        a(A)        b(A)        c(A)     Vol(A3)
LBFGS:   20 00:00:44     -217.218887        1.656010
LBFGS:   21 00:00:44     -217.375946        1.047503
LBFGS:   22 00:00:44     -217.680145        0.857686
LBFGS:   23 00:00:44     -217.839935        1.064517
LBFGS:   24 00:00:44     -217.966125        1.181000
LBFGS:   25 00:00:44     -218.066956        0.737659
LBFGS:   26 00:00:45     -218.138626        0.562885
LBFGS:   27 00:00:45     -218.204361        0.591627
LBFGS:   28 00:00:45     -218.265961        0.679095
LBFGS:   29 00:00:45     -218.355148        0.755658
LBFGS:   30 00:00:45     -218.432693        0.719900
LBFGS:   31 00:00:45     -218.569519        0.794481
LBFGS:   32 00:00:45     -218.639328        0.658907
LBFGS:   33 00:00:45     -218.710083        0.487289
LBFGS:   34 00:00:45     -218.767792        0.572690
LBFGS:   35 00:00:45     -218.815918        0.571850
LBFGS:   36 00:00:45     -218.874268        0.630265
LBFGS:   37 00:00:45     -218.935303        0.637047
LBFGS:   38 00:00:45     -218.988434        0.570785
LBFGS:   39 00:00:45     -219.035339        0.489253
LBFGS:   40 00:00:45     -219.066437        0.368181
LBFGS:   41 00:00:45     -219.091949        0.333390
LBFGS:   42 00:00:45     -219.116516        0.385259
LBFGS:   43 00:00:45     -219.135452        0.376651
LBFGS:   44 00:00:45     -219.151764        0.246331
LBFGS:   45 00:00:46     -219.163147        0.234690
LBFGS:   46 00:00:46     -219.172440        0.203310
LBFGS:   47 00:00:46     -219.180130        0.268055
LBFGS:   48 00:00:46     -219.188965        0.278579
LBFGS:   49 00:00:46     -219.198990        0.275671
LBFGS:   50 00:00:46     -219.209610        0.263034
LBFGS:   51 00:00:46     -219.232300        0.396752
LBFGS:   52 00:00:46     -219.284058        0.819776
LBFGS:   53 00:00:46     -219.265686        1.381858
LBFGS:   54 00:00:46     -219.368729        0.827556
LBFGS:   55 00:00:46     -219.449463        0.710947
LBFGS:   56 00:00:46     -219.621597        0.613506
LBFGS:   57 00:00:46     -219.685150        0.613681
LBFGS:   58 00:00:46     -219.754669        0.574124
LBFGS:   59 00:00:46     -219.815674        0.677176
LBFGS:   60 00:00:46     -219.865173        0.590447
LBFGS:   61 00:00:46     -219.933716        0.593369
LBFGS:   62 00:00:46     -219.983063        0.619403
LBFGS:   63 00:00:46     -220.025513        0.554628
LBFGS:   64 00:00:46     -220.060059        0.446705
LBFGS:   65 00:00:47     -220.091080        0.453107
LBFGS:   66 00:00:47     -220.118622        0.435619
LBFGS:   67 00:00:47     -220.143539        0.405032
LBFGS:   68 00:00:47     -220.159180        0.297400
LBFGS:   69 00:00:47     -220.172760        0.358009
LBFGS:   70 00:00:47     -220.184692        0.320348
LBFGS:   71 00:00:47     -220.195267        0.217841
LBFGS:   72 00:00:47     -220.205872        0.241405
LBFGS:   73 00:00:47     -220.215134        0.236480
LBFGS:   74 00:00:47     -220.226669        0.272394
LBFGS:   75 00:00:47     -220.235138        0.202689
LBFGS:   76 00:00:47     -220.241455        0.184001
LBFGS:   77 00:00:47     -220.247910        0.175848
LBFGS:   78 00:00:47     -220.255280        0.278293
LBFGS:   79 00:00:47     -220.264114        0.249520
LBFGS:   80 00:00:47     -220.274414        0.295618
LBFGS:   81 00:00:47     -220.279877        0.188420
LBFGS:   82 00:00:47     -220.284073        0.148244
LBFGS:   83 00:00:47     -220.288467        0.140743
LBFGS:   84 00:00:47     -220.292603        0.152117
LBFGS:   85 00:00:48     -220.296265        0.116240
LBFGS:   86 00:00:48     -220.300095        0.116094
